Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1011855,110002319982,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.15,-83.43,311224,C,Other,27869.194,27777.296,29149.44,28360.844,26811.698,26225.852,26753.8,,,,
1000376,110040894761,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.90,-91.41,311224,C,Other,95857.538,104084.408,109506.606,102194.748,117650.22,131129.504,195047.938,152630.298,147569.168,164391.43,166895.286
1006080,110027360399,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,HAMILTON COUNTY,35.00,-85.32,322110,C,Pulp and Paper,30243.836,26863.848,26210.152,31847.27,30339.624,28638.938,24860.4,24508.052,23341.412,25097.256,27081.248
1000034,110067425799,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.63,-93.58,311224,C,Other,147313.24,153766.68,149818.092,155623.274,145234.284,150870.244,144115.254,141702.51,133350.86,142430.784,147019.712
1014236,110000350370,ADM Southport,Southport,NC,28461,1730 E Moore Street SE,BRUNSWICK COUNTY,33.95,-78.00,325199,C,Chemicals,65370.002,,,,,,,,,,
1011961,110012384561,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,LOWNDES COUNTY,30.83,-83.25,311224,C,Other,61373.626,52420.728,47154.982,38005.366,41253.954,39870.4,29482.152,,,,
1001991,110071160847,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,LENAWEE COUNTY,41.89,-84.06,562212,HH,Waste,8227.5,6576.25,6905,7499.75,8235,9104.75,14142.25,16305.15,16353.3,18518.3,34758.948
1001633,110070081800,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.68,-86.25,562212,HH,Waste,19703.25,141324.158,137465.812,94485.658,79728.652,85030.5,97230.5,124823.75,87961,92917.5,106789
1001636,110013947453,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,LOWNDES COUNTY,30.81,-83.36,562212,HH,Waste,160012.5,319537,320648,309782,218748.25,206818.5,137389,164077.25,311950.25,292924,106262.5
1006790,110071159539,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,ST. CLAIR COUNTY,33.61,-86.51,562212,HH,Waste,36608.25,151287.25,145819,143100.5,117889.25,91961.5,90617.5,122873.75,75749.75,60150,95842.25
1002094,110034159005,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,MCLEAN COUNTY,40.47,-89.03,562212,HH,Waste,3493.25,4266.75,7440,8221.3,26421.2,23065.6,24335.75,18855.2,32730.8,38172.1,12461.1
1001845,110043581317,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,WOOD COUNTY,44.41,-89.85,562212,"C,HH",Waste,24192.496,20077.15,36865.698,22295.696,22308.646,28204.848,35228.75,30677.05,36060.05,44418.55,27099
1003038,110006726123,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,MACON COUNTY,39.73,-92.54,562212,"C,HH",Waste,30997.5,21802.698,15454.648,33138.798,29459.898,29119.05,27558.75,24570.9,17676.15,21667.55,26828.7
1006979,110017987589,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,ST. LOUIS COUNTY,38.56,-90.53,562212,HH,Waste,11405.25,5362.25,5324,5774.75,6111,7778,8606,9383.25,9530,10848.75,24171
